Date,Store,Product,Category,Actual_Sales,Predicted_Sales,Unit_Price
2026-02-09,Store A - Downtown,Butter,Dairy,87,83,3.24
2026-02-09,Store A - Downtown,Muffins,Bakery,67,63,3.0
2026-02-10,Store A - Downtown,Apples,Fresh Produce,156,149,2.65
2026-02-10,Store A - Downtown,Bananas,Fresh Produce,133,137,1.11
2026-02-10,Store A - Downtown,Lettuce,Fresh Produce,106,104,1.73
2026-02-10,Store A - Downtown,Tomatoes,Fresh Produce,60,61,2.4
2026-02-10,Store A - Downtown,Milk,Dairy,118,110,1.52
2026-02-10,Store A - Downtown,Cheese,Dairy,81,76,4.64
2026-02-10,Store A - Downtown,Yogurt,Dairy,147,148,2.17
2026-02-10,Store A - Downtown,Chicken,Meat,101,100,7.93
2026-02-10,Store A - Downtown,Beef,Meat,130,135,10.59
2026-02-10,Store A - Downtown,Bread,Bakery,44,44,2.86
2026-02-10,Store A - Downtown,Oranges,Fresh Produce,158,156,1.95
2026-02-10,Store A - Downtown,Carrots,Fresh Produce,144,147,1.61
2026-02-10,Store A - Downtown,Salmon,Meat,73,70,12.59
2026-02-10,Store A - Downtown,Butter,Dairy,106,100,3.2
2026-02-10,Store A - Downtown,Muffins,Bakery,92,96,2.89
2026-02-11,Store A - Downtown,Apples,Fresh Produce,103,109,2.33
2026-02-11,Store A - Downtown,Bananas,Fresh Produce,57,53,1.09
2026-02-11,Store A - Downtown,Lettuce,Fresh Produce,69,65,1.64
2026-02-11,Store A - Downtown,Tomatoes,Fresh Produce,97,95,2.12
2026-02-11,Store A - Downtown,Milk,Dairy,113,118,1.61
2026-02-11,Store A - Downtown,Cheese,Dairy,98,94,4.75
2026-02-11,Store A - Downtown,Yogurt,Dairy,51,50,1.82
2026-02-11,Store A - Downtown,Chicken,Meat,45,42,8.0
2026-02-11,Store A - Downtown,Beef,Meat,78,82,9.2
2026-02-11,Store A - Downtown,Bread,Bakery,154,164,2.97
2026-02-11,Store A - Downtown,Oranges,Fresh Produce,151,154,2.11
2026-02-11,Store A - Downtown,Carrots,Fresh Produce,130,130,1.61
2026-02-11,Store A - Downtown,Salmon,Meat,60,59,12.33
2026-02-11,Store A - Downtown,Butter,Dairy,66,65,3.44
2026-02-11,Store A - Downtown,Muffins,Bakery,70,68,2.92
2026-02-12,Store A - Downtown,Apples,Fresh Produce,123,126,2.4
2026-02-12,Store A - Downtown,Bananas,Fresh Produce,89,94,1.2
2026-02-12,Store A - Downtown,Lettuce,Fresh Produce,133,139,1.85
2026-02-12,Store A - Downtown,Tomatoes,Fresh Produce,87,87,2.26
2026-02-12,Store A - Downtown,Milk,Dairy,56,53,1.56
2026-02-12,Store A - Downtown,Cheese,Dairy,83,78,5.11
2026-02-12,Store A - Downtown,Yogurt,Dairy,122,114,2.17
2026-02-12,Store A - Downtown,Chicken,Meat,50,53,7.95
2026-02-12,Store A - Downtown,Beef,Meat,96,99,10.89
2026-02-12,Store A - Downtown,Bread,Bakery,105,106,2.57
2026-02-12,Store A - Downtown,Oranges,Fresh Produce,95,95,2.03
2026-02-12,Store A - Downtown,Carrots,Fresh Produce,112,112,1.58
2026-02-12,Store A - Downtown,Salmon,Meat,148,150,13.03
2026-02-12,Store A - Downtown,Butter,Dairy,121,114,3.21
2026-02-12,Store A - Downtown,Muffins,Bakery,97,100,3.1
2026-02-13,Store A - Downtown,Apples,Fresh Produce,113,119,2.63
2026-02-13,Store A - Downtown,Bananas,Fresh Produce,111,108,1.12
2026-02-13,Store A - Downtown,Lettuce,Fresh Produce,68,72,1.78
2026-02-13,Store A - Downtown,Tomatoes,Fresh Produce,133,133,2.39
2026-02-13,Store A - Downtown,Milk,Dairy,93,92,1.46
2026-02-13,Store A - Downtown,Cheese,Dairy,123,130,4.62
2026-02-13,Store A - Downtown,Yogurt,Dairy,167,170,1.85
2026-02-13,Store A - Downtown,Chicken,Meat,101,94,7.43
2026-02-13,Store A - Downtown,Beef,Meat,118,114,9.92
2026-02-13,Store A - Downtown,Bread,Bakery,75,79,2.96
2026-02-13,Store A - Downtown,Oranges,Fresh Produce,85,90,2.15
2026-02-13,Store A - Downtown,Carrots,Fresh Produce,130,122,1.65
2026-02-13,Store A - Downtown,Salmon,Meat,79,80,11.02
2026-02-13,Store A - Downtown,Butter,Dairy,107,103,3.25
2026-02-13,Store A - Downtown,Muffins,Bakery,154,147,3.25
2026-02-14,Store A - Downtown,Apples,Fresh Produce,84,78,2.28
2026-02-14,Store A - Downtown,Bananas,Fresh Produce,151,157,1.14
2026-02-14,Store A - Downtown,Lettuce,Fresh Produce,85,88,1.95
2026-02-14,Store A - Downtown,Tomatoes,Fresh Produce,185,190,2.35
2026-02-14,Store A - Downtown,Milk,Dairy,109,103,1.5
2026-02-14,Store A - Downtown,Cheese,Dairy,65,66,5.35
2026-02-14,Store A - Downtown,Yogurt,Dairy,124,118,1.91
2026-02-14,Store A - Downtown,Chicken,Meat,81,86,7.67
2026-02-14,Store A - Downtown,Beef,Meat,129,120,10.77
2026-02-14,Store A - Downtown,Bread,Bakery,66,62,2.57
2026-02-14,Store A - Downtown,Oranges,Fresh Produce,183,181,2.11
2026-02-14,Store A - Downtown,Carrots,Fresh Produce,84,84,1.39
2026-02-14,Store A - Downtown,Salmon,Meat,85,85,12.48
2026-02-14,Store A - Downtown,Butter,Dairy,194,205,3.25
2026-02-14,Store A - Downtown,Muffins,Bakery,118,117,2.77
2026-02-15,Store A - Downtown,Apples,Fresh Produce,116,112,2.4
2026-02-15,Store A - Downtown,Bananas,Fresh Produce,147,149,1.18
2026-02-15,Store A - Downtown,Lettuce,Fresh Produce,113,108,1.83
2026-02-15,Store A - Downtown,Tomatoes,Fresh Produce,126,124,2.19
2026-02-15,Store A - Downtown,Milk,Dairy,94,94,1.52
2026-02-15,Store A - Downtown,Cheese,Dairy,143,146,4.82
2026-02-15,Store A - Downtown,Yogurt,Dairy,166,167,1.97
2026-02-15,Store A - Downtown,Chicken,Meat,126,126,7.86
2026-02-15,Store A - Downtown,Beef,Meat,158,167,10.01
2026-02-15,Store A - Downtown,Bread,Bakery,171,166,2.99
2026-02-15,Store A - Downtown,Oranges,Fresh Produce,130,123,1.83
2026-02-15,Store A - Downtown,Carrots,Fresh Produce,159,154,1.45
2026-02-15,Store A - Downtown,Salmon,Meat,162,157,12.58
2026-02-15,Store A - Downtown,Butter,Dairy,198,207,3.41
2026-02-15,Store A - Downtown,Muffins,Bakery,53,53,2.77
2026-02-16,Store A - Downtown,Apples,Fresh Produce,115,122,2.64
2026-02-16,Store A - Downtown,Bananas,Fresh Produce,83,85,1.25
2026-02-16,Store A - Downtown,Lettuce,Fresh Produce,137,127,1.7
2026-02-16,Store A - Downtown,Tomatoes,Fresh Produce,90,85,2.05
2026-02-16,Store A - Downtown,Milk,Dairy,104,104,1.6
2026-02-16,Store A - Downtown,Cheese,Dairy,158,150,4.95
2026-02-16,Store A - Downtown,Yogurt,Dairy,128,132,1.97
2026-02-16,Store A - Downtown,Chicken,Meat,90,85,7.02
2026-02-16,Store A - Downtown,Beef,Meat,65,62,9.58
2026-02-16,Store A - Downtown,Bread,Bakery,149,150,2.8
2026-02-16,Store A - Downtown,Oranges,Fresh Produce,44,46,2.06
2026-02-16,Store A - Downtown,Carrots,Fresh Produce,57,58,1.58
2026-02-16,Store A - Downtown,Salmon,Meat,112,112,11.61
2026-02-16,Store A - Downtown,Butter,Dairy,56,55,3.69
2026-02-16,Store A - Downtown,Muffins,Bakery,124,131,3.05
2026-02-17,Store A - Downtown,Apples,Fresh Produce,159,155,2.5
2026-02-17,Store A - Downtown,Bananas,Fresh Produce,132,130,1.3
2026-02-17,Store A - Downtown,Lettuce,Fresh Produce,113,107,1.74
2026-02-17,Store A - Downtown,Tomatoes,Fresh Produce,74,78,2.18
2026-02-17,Store A - Downtown,Milk,Dairy,66,66,1.35
2026-02-17,Store A - Downtown,Cheese,Dairy,100,101,5.48
2026-02-17,Store A - Downtown,Yogurt,Dairy,81,80,2.1
2026-02-17,Store A - Downtown,Chicken,Meat,130,138,7.92
2026-02-17,Store A - Downtown,Beef,Meat,166,157,10.46
2026-02-17,Store A - Downtown,Bread,Bakery,143,146,3.06
2026-02-17,Store A - Downtown,Oranges,Fresh Produce,110,106,2.09
2026-02-17,Store A - Downtown,Carrots,Fresh Produce,155,146,1.36
2026-02-17,Store A - Downtown,Salmon,Meat,143,142,13.17
2026-02-17,Store A - Downtown,Butter,Dairy,164,161,3.71
2026-02-17,Store A - Downtown,Muffins,Bakery,91,91,3.18
2026-02-18,Store A - Downtown,Apples,Fresh Produce,86,80,2.44
2026-02-18,Store A - Downtown,Bananas,Fresh Produce,142,134,1.24
2026-02-18,Store A - Downtown,Lettuce,Fresh Produce,150,157,1.89
2026-02-18,Store A - Downtown,Tomatoes,Fresh Produce,144,134,2.08
2026-02-18,Store A - Downtown,Milk,Dairy,65,60,1.5
2026-02-18,Store A - Downtown,Cheese,Dairy,129,120,4.9
2026-02-18,Store A - Downtown,Yogurt,Dairy,137,131,2.14
2026-02-18,Store A - Downtown,Chicken,Meat,150,157,7.2
2026-02-18,Store A - Downtown,Beef,Meat,130,125,10.77
2026-02-18,Store A - Downtown,Bread,Bakery,111,104,2.71
2026-02-18,Store A - Downtown,Oranges,Fresh Produce,109,116,1.92
2026-02-18,Store A - Downtown,Carrots,Fresh Produce,131,124,1.52
2026-02-18,Store A - Downtown,Salmon,Meat,73,73,11.74
2026-02-18,Store A - Downtown,Butter,Dairy,185,184,3.24
2026-02-18,Store A - Downtown,Muffins,Bakery,54,51,2.71
2026-02-19,Store A - Downtown,Apples,Fresh Produce,94,95,2.42
2026-02-19,Store A - Downtown,Bananas,Fresh Produce,116,120,1.21
2026-02-19,Store A - Downtown,Lettuce,Fresh Produce,97,102,1.7
2026-02-19,Store A - Downtown,Tomatoes,Fresh Produce,132,132,2.31
2026-02-19,Store A - Downtown,Milk,Dairy,92,93,1.44
2026-02-19,Store A - Downtown,Cheese,Dairy,149,141,5.37
2026-02-19,Store A - Downtown,Yogurt,Dairy,75,75,2.12
2026-02-19,Store A - Downtown,Chicken,Meat,120,119,8.24
2026-02-19,Store A - Downtown,Beef,Meat,153,159,10.81
2026-02-19,Store A - Downtown,Bread,Bakery,76,76,2.58
2026-02-19,Store A - Downtown,Oranges,Fresh Produce,153,162,2.01
2026-02-19,Store A - Downtown,Carrots,Fresh Produce,148,157,1.38
2026-02-19,Store A - Downtown,Salmon,Meat,92,88,10.96
2026-02-19,Store A - Downtown,Butter,Dairy,173,168,3.19
2026-02-19,Store A - Downtown,Muffins,Bakery,96,94,2.74
2026-02-20,Store A - Downtown,Apples,Fresh Produce,155,150,2.45
2026-02-20,Store A - Downtown,Bananas,Fresh Produce,138,128,1.11
2026-02-20,Store A - Downtown,Lettuce,Fresh Produce,92,92,1.8
2026-02-20,Store A - Downtown,Tomatoes,Fresh Produce,156,154,2.32
2026-02-20,Store A - Downtown,Milk,Dairy,104,101,1.42
2026-02-20,Store A - Downtown,Cheese,Dairy,159,163,4.73
2026-02-20,Store A - Downtown,Yogurt,Dairy,162,151,1.98
2026-02-20,Store A - Downtown,Chicken,Meat,99,94,6.82
2026-02-20,Store A - Downtown,Beef,Meat,101,94,9.38
2026-02-20,Store A - Downtown,Bread,Bakery,60,56,2.87
2026-02-20,Store A - Downtown,Oranges,Fresh Produce,114,115,2.14
2026-02-20,Store A - Downtown,Carrots,Fresh Produce,73,76,1.54
2026-02-20,Store A - Downtown,Salmon,Meat,117,122,11.41
2026-02-20,Store A - Downtown,Butter,Dairy,79,78,3.57
2026-02-20,Store A - Downtown,Muffins,Bakery,162,169,2.89
2026-02-21,Store A - Downtown,Apples,Fresh Produce,247,250,2.36
2026-02-21,Store A - Downtown,Bananas,Fresh Produce,145,136,1.09
2026-02-21,Store A - Downtown,Lettuce,Fresh Produce,130,121,1.68
2026-02-21,Store A - Downtown,Tomatoes,Fresh Produce,184,190,2.12
2026-02-21,Store A - Downtown,Milk,Dairy,205,207,1.39
2026-02-21,Store A - Downtown,Cheese,Dairy,204,194,5.01
2026-02-21,Store A - Downtown,Yogurt,Dairy,101,93,1.81
2026-02-21,Store A - Downtown,Chicken,Meat,162,153,8.1
2026-02-21,Store A - Downtown,Beef,Meat,253,254,10.24
2026-02-21,Store A - Downtown,Bread,Bakery,86,87,2.69
2026-02-21,Store A - Downtown,Oranges,Fresh Produce,116,121,1.81
2026-02-21,Store A - Downtown,Carrots,Fresh Produce,70,73,1.43
2026-02-21,Store A - Downtown,Salmon,Meat,170,171,11.75
2026-02-21,Store A - Downtown,Butter,Dairy,202,203,3.68
2026-02-21,Store A - Downtown,Muffins,Bakery,199,196,3.01
2026-02-22,Store A - Downtown,Apples,Fresh Produce,248,248,2.45
2026-02-22,Store A - Downtown,Bananas,Fresh Produce,63,66,1.17
2026-02-22,Store A - Downtown,Lettuce,Fresh Produce,88,93,1.68
2026-02-22,Store A - Downtown,Tomatoes,Fresh Produce,173,181,2.38
2026-02-22,Store A - Downtown,Milk,Dairy,109,112,1.61
2026-02-22,Store A - Downtown,Cheese,Dairy,102,102,5.24
2026-02-22,Store A - Downtown,Yogurt,Dairy,193,194,1.84
2026-02-22,Store A - Downtown,Chicken,Meat,214,224,7.95
2026-02-22,Store A - Downtown,Beef,Meat,144,148,9.05
2026-02-22,Store A - Downtown,Bread,Bakery,94,92,2.92
2026-02-22,Store A - Downtown,Oranges,Fresh Produce,224,218,2.04
2026-02-22,Store A - Downtown,Carrots,Fresh Produce,225,222,1.53
2026-02-22,Store A - Downtown,Salmon,Meat,166,158,11.71
2026-02-22,Store A - Downtown,Butter,Dairy,224,212,3.26
2026-02-22,Store A - Downtown,Muffins,Bakery,116,123,2.85
2026-02-23,Store A - Downtown,Apples,Fresh Produce,139,143,2.69
2026-02-23,Store A - Downtown,Bananas,Fresh Produce,97,92,1.21
2026-02-23,Store A - Downtown,Lettuce,Fresh Produce,94,90,1.64
2026-02-23,Store A - Downtown,Tomatoes,Fresh Produce,63,64,2.2
2026-02-23,Store A - Downtown,Milk,Dairy,113,109,1.44
2026-02-23,Store A - Downtown,Cheese,Dairy,110,116,5.48
2026-02-23,Store A - Downtown,Yogurt,Dairy,184,195,1.83
2026-02-23,Store A - Downtown,Chicken,Meat,110,110,6.9
2026-02-23,Store A - Downtown,Beef,Meat,81,82,10.08
2026-02-23,Store A - Downtown,Bread,Bakery,123,117,3.0
2026-02-23,Store A - Downtown,Oranges,Fresh Produce,81,83,1.92
2026-02-23,Store A - Downtown,Carrots,Fresh Produce,172,178,1.58
2026-02-23,Store A - Downtown,Salmon,Meat,102,108,11.09
2026-02-23,Store A - Downtown,Butter,Dairy,81,78,3.74
2026-02-23,Store A - Downtown,Muffins,Bakery,169,166,2.97
2026-02-24,Store A - Downtown,Apples,Fresh Produce,89,93,2.69
2026-02-24,Store A - Downtown,Bananas,Fresh Produce,90,90,1.14
2026-02-24,Store A - Downtown,Lettuce,Fresh Produce,98,104,1.94
2026-02-24,Store A - Downtown,Tomatoes,Fresh Produce,100,100,2.2
2026-02-24,Store A - Downtown,Milk,Dairy,125,123,1.39
2026-02-24,Store A - Downtown,Cheese,Dairy,122,129,4.98
2026-02-24,Store A - Downtown,Yogurt,Dairy,165,166,1.88
2026-02-24,Store A - Downtown,Chicken,Meat,186,173,6.93
2026-02-24,Store A - Downtown,Beef,Meat,77,78,9.93
2026-02-24,Store A - Downtown,Bread,Bakery,187,187,2.62
2026-02-24,Store A - Downtown,Oranges,Fresh Produce,194,200,1.99
2026-02-24,Store A - Downtown,Carrots,Fresh Produce,185,195,1.45
2026-02-24,Store A - Downtown,Salmon,Meat,133,138,12.29
2026-02-24,Store A - Downtown,Butter,Dairy,69,71,3.3
2026-02-24,Store A - Downtown,Muffins,Bakery,88,89,2.7
2026-02-25,Store A - Downtown,Apples,Fresh Produce,221,214,2.28
2026-02-25,Store A - Downtown,Bananas,Fresh Produce,107,101,1.23
2026-02-25,Store A - Downtown,Lettuce,Fresh Produce,124,131,1.73
2026-02-25,Store A - Downtown,Tomatoes,Fresh Produce,120,122,2.24
2026-02-25,Store A - Downtown,Milk,Dairy,166,176,1.45
2026-02-25,Store A - Downtown,Cheese,Dairy,148,155,4.54
2026-02-25,Store A - Downtown,Yogurt,Dairy,84,88,2.1
2026-02-25,Store A - Downtown,Chicken,Meat,101,103,7.2
2026-02-25,Store A - Downtown,Beef,Meat,230,225,10.48
2026-02-25,Store A - Downtown,Bread,Bakery,120,123,2.81
2026-02-25,Store A - Downtown,Oranges,Fresh Produce,131,129,2.06
2026-02-25,Store A - Downtown,Carrots,Fresh Produce,117,116,1.39
2026-02-25,Store A - Downtown,Salmon,Meat,100,102,12.37
2026-02-25,Store A - Downtown,Butter,Dairy,149,145,3.29
2026-02-25,Store A - Downtown,Muffins,Bakery,169,177,2.85
2026-02-26,Store A - Downtown,Apples,Fresh Produce,182,176,2.32
2026-02-26,Store A - Downtown,Bananas,Fresh Produce,153,156,1.3
2026-02-26,Store A - Downtown,Lettuce,Fresh Produce,175,179,1.96
2026-02-26,Store A - Downtown,Tomatoes,Fresh Produce,94,90,2.26
2026-02-26,Store A - Downtown,Milk,Dairy,78,76,1.56
2026-02-26,Store A - Downtown,Cheese,Dairy,97,95,5.38
2026-02-26,Store A - Downtown,Yogurt,Dairy,204,216,2.14
2026-02-26,Store A - Downtown,Chicken,Meat,147,147,7.48
2026-02-26,Store A - Downtown,Beef,Meat,123,118,10.83
2026-02-26,Store A - Downtown,Bread,Bakery,173,181,3.07
2026-02-26,Store A - Downtown,Oranges,Fresh Produce,68,70,1.99
2026-02-26,Store A - Downtown,Carrots,Fresh Produce,172,165,1.54
2026-02-26,Store A - Downtown,Salmon,Meat,148,149,11.78
2026-02-26,Store A - Downtown,Butter,Dairy,96,100,3.75
2026-02-26,Store A - Downtown,Muffins,Bakery,130,127,3.18
2026-02-27,Store A - Downtown,Apples,Fresh Produce,93,88,2.64
2026-02-27,Store A - Downtown,Bananas,Fresh Produce,150,160,1.13
2026-02-27,Store A - Downtown,Lettuce,Fresh Produce,72,71,1.84
2026-02-27,Store A - Downtown,Tomatoes,Fresh Produce,219,205,2.04
2026-02-27,Store A - Downtown,Milk,Dairy,220,212,1.62
2026-02-27,Store A - Downtown,Cheese,Dairy,87,91,4.68
2026-02-27,Store A - Downtown,Yogurt,Dairy,161,162,2.0
2026-02-27,Store A - Downtown,Chicken,Meat,110,117,8.25
2026-02-27,Store A - Downtown,Beef,Meat,167,157,10.46
2026-02-27,Store A - Downtown,Bread,Bakery,75,74,2.76
2026-02-27,Store A - Downtown,Oranges,Fresh Produce,189,193,1.94
2026-02-27,Store A - Downtown,Carrots,Fresh Produce,120,125,1.47
2026-02-27,Store A - Downtown,Salmon,Meat,174,180,12.72
2026-02-27,Store A - Downtown,Butter,Dairy,94,89,3.77
2026-02-27,Store A - Downtown,Muffins,Bakery,124,117,3.02
2026-02-28,Store A - Downtown,Apples,Fresh Produce,118,109,2.47
2026-02-28,Store A - Downtown,Bananas,Fresh Produce,95,88,1.24
2026-02-28,Store A - Downtown,Lettuce,Fresh Produce,204,193,1.93
2026-02-28,Store A - Downtown,Tomatoes,Fresh Produce,256,257,2.34
2026-02-28,Store A - Downtown,Milk,Dairy,83,85,1.43
2026-02-28,Store A - Downtown,Cheese,Dairy,101,101,5.25
2026-02-28,Store A - Downtown,Yogurt,Dairy,209,200,1.88
2026-02-28,Store A - Downtown,Chicken,Meat,177,167,6.88
2026-02-28,Store A - Downtown,Beef,Meat,131,136,9.8
2026-02-28,Store A - Downtown,Bread,Bakery,124,117,2.89
2026-02-28,Store A - Downtown,Oranges,Fresh Produce,108,113,2.19
2026-02-28,Store A - Downtown,Carrots,Fresh Produce,178,170,1.42
2026-02-28,Store A - Downtown,Salmon,Meat,161,166,12.16
2026-02-28,Store A - Downtown,Butter,Dairy,207,216,3.65
2026-02-28,Store A - Downtown,Muffins,Bakery,149,151,2.99
2026-03-01,Store A - Downtown,Apples,Fresh Produce,77,76,2.63
2026-03-01,Store A - Downtown,Bananas,Fresh Produce,99,97,1.14
2026-03-01,Store A - Downtown,Lettuce,Fresh Produce,239,232,1.82
2026-03-01,Store A - Downtown,Tomatoes,Fresh Produce,180,167,2.07
2026-03-01,Store A - Downtown,Milk,Dairy,228,232,1.4
2026-03-01,Store A - Downtown,Cheese,Dairy,238,237,5.44
2026-03-01,Store A - Downtown,Yogurt,Dairy,225,216,2.03
2026-03-01,Store A - Downtown,Chicken,Meat,175,167,6.9
2026-03-01,Store A - Downtown,Beef,Meat,107,105,9.35
2026-03-01,Store A - Downtown,Bread,Bakery,99,96,2.72
2026-03-01,Store A - Downtown,Oranges,Fresh Produce,92,90,1.91
2026-03-01,Store A - Downtown,Carrots,Fresh Produce,239,251,1.63
2026-03-01,Store A - Downtown,Salmon,Meat,178,168,11.08
2026-03-01,Store A - Downtown,Butter,Dairy,150,157,3.68
2026-03-01,Store A - Downtown,Muffins,Bakery,212,212,3.3
2026-03-02,Store A - Downtown,Apples,Fresh Produce,127,123,2.72
2026-03-02,Store A - Downtown,Bananas,Fresh Produce,69,71,1.12
2026-03-02,Store A - Downtown,Lettuce,Fresh Produce,186,185,1.97
2026-03-02,Store A - Downtown,Tomatoes,Fresh Produce,207,204,2.24
2026-03-02,Store A - Downtown,Milk,Dairy,129,123,1.38
2026-03-02,Store A - Downtown,Cheese,Dairy,88,89,4.86
2026-03-02,Store A - Downtown,Yogurt,Dairy,162,165,2.17
2026-03-02,Store A - Downtown,Chicken,Meat,137,134,7.24
2026-03-02,Store A - Downtown,Beef,Meat,106,105,10.32
2026-03-02,Store A - Downtown,Bread,Bakery,134,130,2.71
2026-03-02,Store A - Downtown,Oranges,Fresh Produce,66,62,2.09
2026-03-02,Store A - Downtown,Carrots,Fresh Produce,116,111,1.52
2026-03-02,Store A - Downtown,Salmon,Meat,168,175,13.03
2026-03-02,Store A - Downtown,Butter,Dairy,183,187,3.19
2026-03-02,Store A - Downtown,Muffins,Bakery,159,168,3.05
2026-03-03,Store A - Downtown,Apples,Fresh Produce,182,170,2.59
2026-03-03,Store A - Downtown,Bananas,Fresh Produce,179,185,1.28
2026-03-03,Store A - Downtown,Lettuce,Fresh Produce,147,146,1.62
2026-03-03,Store A - Downtown,Tomatoes,Fresh Produce,142,149,2.14
2026-03-03,Store A - Downtown,Milk,Dairy,184,178,1.4
2026-03-03,Store A - Downtown,Cheese,Dairy,127,127,5.47
2026-03-03,Store A - Downtown,Yogurt,Dairy,200,209,1.88
2026-03-03,Store A - Downtown,Chicken,Meat,223,219,6.9
2026-03-03,Store A - Downtown,Beef,Meat,164,163,10.13
2026-03-03,Store A - Downtown,Bread,Bakery,162,160,2.73
2026-03-03,Store A - Downtown,Oranges,Fresh Produce,208,196,2.12
2026-03-03,Store A - Downtown,Carrots,Fresh Produce,90,87,1.61
2026-03-03,Store A - Downtown,Salmon,Meat,168,168,11.91
2026-03-03,Store A - Downtown,Butter,Dairy,117,119,3.41
2026-03-03,Store A - Downtown,Muffins,Bakery,172,160,2.98
2026-03-04,Store A - Downtown,Apples,Fresh Produce,192,182,2.34
2026-03-04,Store A - Downtown,Bananas,Fresh Produce,134,126,1.31
2026-03-04,Store A - Downtown,Lettuce,Fresh Produce,96,102,1.65
2026-03-04,Store A - Downtown,Tomatoes,Fresh Produce,126,132,2.26
2026-03-04,Store A - Downtown,Milk,Dairy,112,104,1.51
2026-03-04,Store A - Downtown,Cheese,Dairy,139,147,4.54
2026-03-04,Store A - Downtown,Yogurt,Dairy,86,90,1.82
2026-03-04,Store A - Downtown,Chicken,Meat,184,192,6.93
